file_name,emotion,zcr_mean,zcr_std,ste_mean,ste_std,spectral_centroid_mean,spectral_bandwidth_mean,spectral_kurtosis,spectral_skewness,pitch_mean,pitch_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std
G10_D06_F_30_neutral_C1.wav,GROUP_10,0.04659090909090909,0.04846975372301178,0.09672945,0.08701645,2220.82566670482,2735.684978772696,0.3551257108709165,0.4551795506200767,1255.2384,1024.6543,-323.19473,96.25284,138.53426,50.050014,4.672834,33.071766,26.142738,27.425966,-6.6001616,23.493576,3.6307764,16.79303,-12.101547,11.980729,-23.384052,16.365728,-7.667287,10.970352,-3.028012,11.637918,-5.913649,12.128781,1.7431544,9.476743,-2.9942763,10.3383045
G11_D01_C_11_Furious_C3.wav,GROUP_11,0.03626295357696281,0.030807408084421752,0.101167,0.109357946,1787.0441503749396,1929.7920578509427,-0.08204246597640563,0.48726376507310254,1497.9229,987.1312,-352.0321,90.31887,95.923065,58.047768,-12.577165,38.4259,4.252065,26.315144,24.046991,26.568134,-5.4169507,13.286397,-18.874859,18.473726,-12.547365,12.916875,-11.266123,10.642315,-12.205932,12.651268,-9.472154,10.415424,-9.848919,12.852928,-13.210153,12.507625
G11_D01_C_11_Neutral_C1.wav,GROUP_11,0.029007015156835205,0.022650003916985437,0.09549344,0.096050955,1485.2635836880045,1697.8342450857876,0.21866528144871536,0.45258001042614776,1389.497,981.04736,-353.87375,83.237114,121.92642,62.811928,8.796457,34.230106,0.9623662,30.473164,14.832988,24.323433,-1.3485262,16.917559,-8.640265,16.569817,-3.3658366,12.568276,-5.1132193,12.480761,-12.988264,11.421781,-13.581248,12.0740385,-8.307931,11.509913,-8.423188,8.731247
G11_D01_C_11_Shocked_C5.wav,GROUP_11,0.04206026517427885,0.04042620346853225,0.07866136,0.08280889,1724.6755427503283,1849.5580403400772,-0.3091392285202014,0.5460421982795391,1532.3408,1110.7205,-388.82724,97.14135,113.215645,56.96055,-12.817971,46.799633,15.020764,37.108788,24.579813,21.750294,-6.1445885,17.91309,-10.364736,19.027264,-6.3191686,11.549357,-4.0357556,8.667596,-11.694082,9.495548,-16.218021,11.876115,-6.3313,10.801988,-7.2087855,9.151664
G11_D02_C_16_Furious_C3.wav,GROUP_11,0.06118229666506718,0.053305549765342235,0.09502639,0.09329423,2176.313830220422,1872.4439991415297,-0.10370351244878548,0.38535077773923715,1866.8079,1152.5518,-328.5403,99.654274,109.74767,59.00624,-33.24388,46.472103,13.096437,31.278807,10.708217,24.38932,-23.889915,24.069128,-5.7417526,17.101606,-9.249767,16.086843,-20.515303,17.365469,-10.180615,14.313379,-6.704751,12.541793,-10.5169115,11.002282,-7.978707,9.106339
G11_D02_C_16_Happy_C2.wav,GROUP_11,0.05528500205592105,0.05100911044142538,0.13147713,0.12947513,2021.0688775808107,1763.0510753364924,0.08032491218620949,0.35601317871034516,1854.2739,1105.4232,-306.8562,89.659065,106.65503,58.04102,-29.429104,37.672016,-1.8258464,28.077936,9.259943,19.477686,-18.526033,19.395184,-10.447572,17.314985,-8.964911,16.351444,-17.800844,17.707674,-10.518218,15.754194,-6.5915747,12.357358,-9.921142,10.884487,-4.775002,8.58051
G11_D02_C_16_Neutral_C1.wav,GROUP_11,0.045769339685501065,0.041477528447122325,0.079514705,0.08212974,1789.8940983853856,1778.5290232905106,0.27807827956527864,0.5138680361279654,1738.983,1143.1228,-347.50943,85.23348,108.32549,56.01303,-7.1893616,41.51933,12.6373205,29.79906,15.312262,24.475279,-16.497875,21.083849,-12.116827,19.90214,-7.4658237,14.085977,-12.486105,15.237458,-9.8266115,12.562658,-8.134828,10.042531,-4.4998736,9.324844,-3.239603,8.949576
G11_D03_M_21_Furious_C3.wav,GROUP_11,0.03403542258522727,0.03401334746429037,0.09923908,0.096155964,1600.1429004162326,2046.0020211914568,-0.21363934052173264,0.39781663053595767,1489.1179,1137.0419,-388.44092,122.51186,129.0413,90.361534,9.969506,32.436638,24.16527,20.1756,34.60835,25.123854,11.667741,21.999008,3.7693098,15.959212,0.8765859,12.384619,4.4762516,11.008427,-0.008763085,11.216451,-12.052444,14.824365,-7.238157,9.883936,-3.004182,7.013084
G11_D03_M_21_Sad_C4.wav,GROUP_11,0.03209635416666667,0.022888096426338645,0.059468042,0.071533956,1727.7078240232356,2180.8461112055966,-0.09222068764831584,0.5295449800597131,1504.9362,1037.4817,-416.9085,127.169586,129.786,84.78753,2.6161022,38.217194,12.015828,16.43005,27.816967,25.120445,16.639486,16.82044,8.559899,10.68699,2.0465946,12.897004,7.4144807,9.099171,0.7473638,10.62226,-9.358801,14.73034,-2.0216625,7.89743,-4.3730702,6.917299
G11_D03_M_21_Shocked_C5.wav,GROUP_11,0.04439242493872549,0.04415907982610221,0.0843645,0.09696291,1731.1284139162785,1880.8906440012934,-0.18611825315618155,0.39266313321001484,1562.7213,1089.7433,-363.3744,115.33748,136.4511,82.10603,-0.34544462,35.963966,17.321762,25.570581,20.9939,21.289196,3.9407294,26.916754,5.1244416,18.185436,-9.101573,15.666786,-7.4427376,12.550526,-1.9887283,9.9084015,-12.353104,15.395923,-6.6106524,10.908994,2.9438243,9.490021
G11_D04_F_24_Furious_C3.wav,GROUP_11,0.040054771280160856,0.051630290875297004,0.030538334,0.022208402,1513.8953893854634,1641.7963689887251,-0.0359492122569302,0.4441716620577746,1674.4904,1178.9678,-476.6032,64.70477,141.19353,55.87612,13.57657,39.079727,11.829361,29.759449,17.597286,23.42451,2.8659086,17.13124,-1.9736536,19.387794,-13.307395,14.817377,-18.690863,13.5098505,-13.184018,13.047354,-6.5491447,10.013376,-4.1914325,8.164762,-6.819464,8.568364
G11_D04_F_24_Happy_C2.wav,GROUP_11,0.030309511048812667,0.03527996296611617,0.041590277,0.025790943,1273.692948316309,1526.1989190279571,-0.1534628433482553,0.06911373169636062,1492.7257,1103.316,-468.04797,64.75747,157.7009,49.942,16.805208,29.245749,-0.90964544,26.35261,1.9110296,20.257463,-7.5013876,13.979398,-12.702744,16.058128,-16.533392,17.096605,-6.8750067,11.186829,-8.996077,9.559072,-19.404184,11.478483,-10.926766,8.729886,-4.5157604,7.8602386
G11_D04_F_24_Neutral_C1.wav,GROUP_11,0.03636474609375,0.04132639363922267,0.031137975,0.024999127,1407.688967448791,1558.7919343454084,0.25194923776484346,0.5037657403721533,1402.581,1118.2688,-475.5848,61.24275,147.41122,58.64454,32.747696,34.556755,5.837223,32.95395,-1.8282497,25.480534,-4.2825127,16.974117,1.2675653,20.407063,-7.8233666,15.13277,-13.999807,11.441869,-14.250714,9.938495,-14.185171,9.236396,-8.7255745,8.77418,-6.749841,8.33985
G11_D05_F_20_Furious_C3.wav,GROUP_11,0.03576726861338798,0.041887771833483356,0.09801504,0.076159246,1601.5433041651063,1695.5319959866579,-0.2728499633333373,0.19028792930141286,1258.0469,1114.9768,-346.84586,88.803375,136.67001,60.049488,-11.7467985,41.56485,15.770099,28.596796,15.442823,25.887438,-17.430307,23.711473,-4.1871758,19.11254,-0.362865,15.842124,-15.97157,14.842462,-23.609657,15.797365,-15.348248,9.825937,-7.6927953,9.196655,-14.257283,10.498582
G11_D05_F_20_Happy_C2.wav,GROUP_11,0.03891787710777126,0.04573713340025187,0.09316067,0.07379132,1643.4625632408488,1633.0460002127936,0.37219913202048754,0.010513414485775172,1453.0918,1161.875,-354.78873,78.620224,124.53496,54.777004,-17.301725,36.4342,7.992916,27.565878,18.51346,23.532175,-10.059322,23.114285,-9.463631,14.937519,-11.281418,19.824888,-21.150618,13.386287,-23.628914,16.507145,-12.904494,10.8037,-4.876983,9.619633,-13.344538,8.527208
G11_D05_F_20_Sad_C4.wav,GROUP_11,0.04172694830246913,0.04657414906777421,0.073731035,0.06025229,1603.1314308177975,1630.3072327477419,-0.18893147244123507,0.456419337643398,1571.9495,1288.1548,-391.97806,77.72886,125.34119,55.99159,3.181363,47.22771,33.111935,35.274418,30.721542,19.014505,1.8476403,17.560303,3.82746,20.23096,-10.234094,14.863731,-21.803303,18.547075,-14.412707,14.873071,-5.9193277,9.054218,-3.7774951,9.76936,-9.59851,9.4554205
G11_D06_M_22_Furious_C3.wav,GROUP_11,0.05116984049479167,0.039859088062669364,0.070619,0.09230355,2154.05080043542,2505.593143105351,-0.07295507736128234,0.6464272935413344,1751.0803,1123.604,-396.37772,123.81641,100.01742,93.38767,-0.3564516,35.778633,9.267675,20.321611,18.261469,22.195871,-3.2036154,18.171165,1.6440043,14.23592,9.703088,11.756158,-0.22881235,11.470583,-7.4033113,13.114201,-6.973309,11.122409,-5.7741556,10.537547,-3.995633,8.8711815
G11_D06_M_22_Neutral_C1.wav,GROUP_11,0.039625901442307696,0.03229989066338122,0.045096774,0.049827065,2055.8952727990104,2354.370648491915,0.09459885503253249,0.5055901630532502,1637.1337,1077.7823,-462.7436,126.462585,145.47452,96.9804,3.3324337,35.305138,13.066596,23.257223,23.87718,24.902674,0.14539726,19.572588,9.145225,15.734838,11.794985,12.127901,-3.4780939,11.0509405,-4.4627953,11.782734,-1.3932724,7.9971375,-4.2333403,9.084666,-3.5187397,8.530316
G11_D06_M_22_Shocked_C5.wav,GROUP_11,0.045469753747323344,0.045706150590051106,0.068407886,0.07314887,1982.42249676111,2192.273322362452,-0.08875618215023813,0.4875275882040978,1585.9907,1194.5374,-385.27472,127.26247,131.25887,83.20529,-15.261627,41.624897,25.526377,27.876312,29.504082,19.35681,-5.805536,22.437162,2.577756,19.415342,0.30090463,12.555136,-8.930546,14.326621,-6.0057445,11.244859,-1.3194076,7.7259917,0.03585456,7.983818,-5.0037775,9.793439
G12_D01_K_23_Happy_C2.wav,GROUP_12,0.03164419383305648,0.031009506854254607,0.033740498,0.018262891,1688.1055816845626,2711.677120679988,0.30676566429436775,0.3543717330826278,849.1505,735.18384,-405.45163,51.181942,172.85417,31.287605,-5.08382,25.82559,17.881025,23.482458,18.372934,18.696737,3.4738505,12.615001,-15.756792,14.280222,8.414257,11.768095,-11.046236,12.056011,-11.973235,10.236051,12.783051,13.036676,-9.416596,9.848704,-2.4231317,8.246571
G12_D01_K_23_Neutral_C1.wav,GROUP_12,0.032370598266961655,0.02634921026194208,0.017092783,0.009141249,1834.4638433694306,2981.773402592283,0.40905014512704724,0.14784688234329932,926.8073,706.47473,-456.59448,59.16605,168.87863,34.80856,-12.590954,28.25303,15.490508,21.0871,11.307878,20.381239,3.3424609,13.869657,-2.2662313,15.444037,7.9759336,8.608197,-4.3734093,8.562695,-8.438781,11.290104,17.378736,13.434691,-6.017778,9.241815,-2.4781733,8.254176
G12_D01_K_23_Shocked_C5.wav,GROUP_12,0.046259742538416075,0.0456420336889439,0.027570702,0.016115006,2574.5226685128046,3554.0054520059457,0.035019127831513126,0.3480192122790278,883.07825,677.8768,-416.5214,54.334282,136.55176,41.74623,-2.4650586,22.456844,17.96896,27.966747,6.149113,22.031706,12.708474,10.957478,-18.55364,16.2054,15.388243,16.162352,-7.491131,11.280447,2.3691158,11.785573,2.678924,11.357507,-4.8232484,12.369055,0.1257734,9.491038
G12_D02_K_21_Furious_C3.wav,GROUP_12,0.03437440088190184,0.04752396884688881,0.027191335,0.013224486,1962.7156631738344,3069.395932999857,0.17920535362616244,0.4085887818556225,751.36835,673.33264,-417.48615,48.62584,153.48627,35.884064,9.268225,20.61624,22.912743,21.74695,5.0193877,19.134888,14.10695,17.763617,-4.547704,12.340422,10.661587,13.79306,-13.635131,12.322927,-22.7948,11.819103,0.3662996,9.429643,-6.0851893,8.026842,-10.611505,8.628423
G12_D02_K_21_Neutral_C1.wav,GROUP_12,0.023411314570189273,0.021243435843900402,0.018659877,0.009315324,1737.3831888960053,3164.3882757204547,0.48391381676625034,0.6265712731894605,724.1978,590.73724,-456.3637,39.771877,171.05804,30.044886,9.804551,23.772047,14.741464,20.38633,13.654337,18.870504,18.83514,12.988955,-5.95707,12.56441,8.598433,9.665457,-5.6187134,8.019826,-17.036705,10.722728,3.281699,9.628337,-3.1269877,9.65513,-0.88474745,7.333205
G12_D02_K_21_Sad_C4.wav,GROUP_12,0.022439765413279134,0.018731911371132,0.014332325,0.008894537,1954.3802186172975,3628.2648697188934,0.6299629977556148,0.6927870703584681,826.8626,1057.7136,-496.4627,43.515488,145.2435,28.719927,13.875124,19.502935,33.753334,18.452944,31.365635,12.053308,19.099903,10.278059,5.383483,12.986404,5.3298,9.029688,-12.068626,13.052303,-11.496067,9.8525095,2.585417,7.7813997,-0.45635664,10.502844,-2.5037754,6.337868
G12_D03_E_21_Neutral_C1.wav,GROUP_12,0.07054703958918539,0.06453656499703024,0.0028300318,0.0018654446,2788.6082929261524,3060.8098295404807,1.103181932876386,0.6421069744884697,1653.0696,1164.4597,-575.6501,55.87458,144.0492,49.024166,-34.725613,33.06768,62.846516,23.013853,-7.7410307,15.900935,24.804419,19.047054,-18.224266,15.69125,-2.9049354,11.425613,2.4193954,9.66209,-0.46622682,9.35752,0.4881009,10.066997,-14.619118,8.928767,7.017348,8.5639715
G12_D03_E_21_Sad_C4.wav,GROUP_12,0.06927599878368264,0.05851358174501034,0.0037513112,0.0020442854,2710.609459316397,2826.5085767222427,0.15237825196109892,0.45210227129035835,1806.811,1178.8337,-547.85114,56.576508,146.53683,49.535603,-49.834534,39.596066,62.352592,23.568733,0.22872093,16.774517,35.650173,15.766756,-9.906363,11.301608,-2.220876,12.851717,3.2187548,9.338432,-3.5188859,8.370124,-0.09310825,10.329546,-12.729187,9.762035,5.4283595,7.5955205
G12_D03_E_21_Shocked_C5.wav,GROUP_12,0.0790758634868421,0.0702128739224511,0.0047662244,0.0031973578,2864.4443231984583,2687.227892478757,-0.028710567699595884,0.3805240028412615,1998.3965,1202.4076,-529.62616,62.080235,137.87619,62.30958,-56.620693,40.82578,60.878872,29.292225,-1.1970154,16.245798,20.920607,21.276886,-17.287184,19.120977,0.31037474,8.976737,7.1401434,9.03621,-12.310214,10.57246,-1.6689013,10.998746,-7.185555,6.976576,3.2873406,6.5189896
G12_D04_E_61_Furious_C3.wav,GROUP_12,0.04072529560810811,0.05021033441876813,0.2413454,0.22067335,1669.5944559786583,2288.264500804243,-0.4005905505123542,0.4636241477820442,1273.9601,1027.0082,-240.40378,103.34613,133.7129,54.77348,2.2334507,41.279736,8.185709,29.149956,7.586921,24.1141,5.3366585,18.838713,-0.24168132,15.066048,-5.1050224,13.4904175,-12.386737,12.251297,-17.722057,12.350182,-11.693152,10.732444,-6.080827,10.871135,-4.1231995,10.446882
G12_D04_E_61_Happy_C2.wav,GROUP_12,0.041692578772802656,0.05671635948927595,0.14102736,0.09670512,1693.1063187513755,2300.5700529512665,0.09605729895131747,0.03840174496257202,1497.8363,1047.2999,-303.30103,55.437687,115.97038,38.78981,0.8439164,33.104614,8.3060875,21.118198,17.001299,21.274366,7.232893,18.244036,-5.4540095,13.379225,-8.320516,12.604348,-8.9425125,12.093568,-8.772275,12.857854,-13.087449,11.50735,-16.59731,10.616377,-12.128758,11.53341
G12_D04_E_61_Neutral_C1.wav,GROUP_12,0.028992681393678162,0.03382970196899585,0.06243657,0.053259578,1497.9921121222646,2531.5001028720912,0.19490707953744016,0.3598885681592188,984.457,926.0582,-376.3306,63.01237,160.46193,46.272255,36.534657,27.249062,19.238432,19.703796,21.49253,18.184376,7.150487,16.666103,-1.5481057,14.81736,-1.9475429,10.91819,-12.729245,12.574445,-12.179879,10.631031,-5.257059,9.56028,2.8408442,9.726879,-5.536482,10.591827
G12_D05_C_8_Happy_C2.wav,GROUP_12,0.033934916020671835,0.06139015658177942,0.053310364,0.03463057,2383.920641364453,3171.480848606792,-0.6868715431740398,-0.10840879631710346,1273.5935,1061.2206,-447.86984,105.3719,116.61416,75.68193,-11.040493,33.5773,9.288435,33.797913,-3.7119968,20.74898,1.007024,17.6372,-12.587538,16.36533,-8.924224,14.068806,-5.5319614,10.169856,-16.699892,18.319088,-9.279041,11.251717,-8.88672,9.424385,-12.694447,12.502086
G12_D05_C_8_Neutral_C1.wav,GROUP_12,0.03998850083210059,0.03729134409174275,0.046407476,0.03735931,1799.9690743428105,2318.1810706238325,0.5082775965884361,0.270912272289429,1148.2644,887.7805,-371.7073,69.67376,142.24255,40.41381,-11.2397,35.729935,-3.349271,31.271963,-1.579706,19.57658,-8.577682,18.857073,-12.648244,17.928305,2.2562957,12.57172,-10.86327,10.943377,-10.999073,11.871087,0.3844815,10.022842,-6.839819,11.0847,-9.565924,8.906708
G12_D05_C_8_Sad_C4.wav,GROUP_12,0.046689789870689655,0.05818884034152653,0.034745123,0.022246907,2160.3057994334245,2704.9060886778866,0.297604356296442,0.25517860584833074,1481.248,1280.0208,-398.84058,78.88887,132.19849,43.037556,-12.517372,33.34298,35.80407,31.447754,8.2552805,17.681973,3.965751,12.872038,-19.518465,22.80301,4.6543846,12.676558,-13.607413,12.917205,-9.913549,13.675212,-0.9075336,11.870793,-8.551851,12.558583,-2.9326055,7.6859164
G12_D06_C_9_Neutral_C1.wav,GROUP_12,0.10039946364514349,0.15604068459031448,0.01754673,0.014522104,3141.465102750279,3393.6323253872083,0.4034317025594074,0.4631022864765475,1327.1311,950.7031,-514.89984,76.78115,113.97324,53.94876,-12.117353,40.62558,-3.1213787,35.53287,-0.9273556,21.046556,-19.099644,17.99239,-7.109534,16.736736,-13.774922,13.33817,-24.082308,14.228049,-9.394379,13.527725,-2.8989394,12.634271,-9.521744,11.465783,-11.63402,10.6070175
G12_D06_C_9_N_Happy_C2.wav,GROUP_12,0.09662776393149285,0.14705379920971967,0.024978844,0.018746331,3055.5175067891464,3315.6421370007615,1.746770668857126,0.5815820495013314,1517.6361,1052.4485,-501.29428,78.40689,106.31246,53.437542,-19.498579,38.673298,-3.3535538,32.40815,0.7153773,19.399977,-25.548716,22.170166,-11.465036,14.802768,-9.976943,12.637227,-25.919945,16.068413,-18.601946,13.909581,-9.249332,14.393105,-9.849541,12.0495405,-8.739962,10.797404
G12_D06_C_9_Shocked_C5.wav,GROUP_12,0.12338994249535316,0.14035177875491886,0.0142165525,0.013869105,3749.703928190871,3826.4346109863473,0.1700317108421206,0.5704503711423796,1722.3062,1158.3468,-548.0868,82.64516,95.060295,57.190975,-27.86078,42.623074,6.078097,41.33436,-0.22941868,19.684706,-27.18632,22.658167,-0.6324953,20.061083,-5.2164755,14.519215,-19.740002,14.875028,-13.770602,13.539659,-15.079963,12.94679,-14.6069975,10.294992,-7.423425,10.937135
G13_D01_M_22_Furious_C3.wav,GROUP_13,0.02596701715225564,0.05386560425014675,0.018618468,0.018092163,3062.1514791632467,4287.583658685358,0.44690453306837996,0.47214265170925396,1203.3556,1151.1755,-486.69626,120.57331,110.867905,64.318954,10.912271,26.572878,39.353638,23.97718,15.433183,18.172268,12.136847,17.422445,4.578867,13.276152,1.741859,12.456614,-2.1396892,14.113834,13.154137,7.8786664,-9.152054,12.569464,6.2093377,9.22531,-1.441756,8.560434
G13_D01_M_22_Neutral_C1.wav,GROUP_13,0.025819290515988372,0.04365613055421235,0.012759397,0.010656559,2906.0807595482006,4271.4300599429835,0.5949506457552527,0.4656354967136548,871.16223,798.66644,-494.21542,101.687904,114.20371,60.2049,19.43882,24.059097,38.228794,20.079405,13.955606,19.695765,22.308374,16.514774,3.5767064,14.883323,-0.22659987,16.11746,0.7974357,12.269247,10.420875,8.268506,-1.2492332,9.1363,9.207725,8.128776,1.8526382,7.501944
G13_D01_M_22_Shocked_C5.wav,GROUP_13,0.049455322783970274,0.08061410150117251,0.017355688,0.015708365,3499.5936047996734,4151.418207294106,0.0873548899304386,0.3743941045278135,1111.8646,1055.6154,-460.93802,111.96952,104.33763,70.66533,6.1777964,24.860682,41.883957,30.23857,4.6464763,19.762579,13.920796,18.538654,4.3761806,11.756049,-0.5216966,14.606299,-4.1594167,14.37873,14.312898,9.265739,-8.186092,11.222372,6.0054646,7.5068526,-3.2886562,11.431347
G13_D02_M_22_Furious_C3.wav,GROUP_13,0.03816342293765743,0.05560232151147457,0.09703846,0.087527454,1509.368840186295,1489.9760472031733,0.35975572475428674,0.09623649143475606,1517.9021,1108.4937,-348.47592,122.45785,145.34059,88.137985,-10.260708,39.70271,11.047838,29.092775,16.31591,20.378843,6.973121,20.500088,5.6567407,17.965094,-11.95262,14.003763,11.378009,13.305196,12.73336,11.470101,-24.269653,19.601234,-5.611126,10.921323,7.7781377,10.788618
